"workerid","A","B","percent","read_and_decide_time","quant","read_time_one","response","qq","percent_cat","resp","rt_too_quick"
30,"""umpond""","""marire""",14,740,"More than half",1882,"false","More than half","1-25",0,FALSE
30,"""tiklet""","""hullaw""",87,639,"More than half",2193,"true","More than half","76-100",1,FALSE
30,"""puctor""","""recure""",38,976,"More than half",1917,"false","More than half","26-40",0,FALSE
30,"""russer""","""huttle""",31,775,"More than half",2022,"false","More than half","26-40",0,FALSE
30,"""pengyl""","""sedest""",6,1312,"Fewer than half",2262,"true","Fewer than half","1-25",0,FALSE
30,"""bemble""","""squank""",43,1078,"More than half",1848,"false","More than half","41-50",0,FALSE
30,"""middor""","""drooty""",92,1043,"More than half",1057,"true","More than half","76-100",1,FALSE
30,"""awplor""","""fasees""",3,842,"More than half",3193,"false","More than half","1-25",0,FALSE
30,"""puggle""","""entand""",57,809,"More than half",171,"true","More than half","51-60",1,FALSE
30,"""monter""","""melelt""",23,1278,"Fewer than half",1332,"true","Fewer than half","1-25",0,FALSE
30,"""monter""","""melelt""",82,740,"More than half",987,"true","More than half","76-100",1,FALSE
30,"""gukbar""","""soarse""",53,573,"More than half",1297,"true","More than half","51-60",1,FALSE
30,"""bameta""","""unzast""",84,942,"Fewer than half",137,"false","Fewer than half","76-100",1,FALSE
30,"""puggle""","""entand""",43,1177,"Fewer than half",815,"true","Fewer than half","41-50",0,FALSE
30,"""russer""","""huttle""",76,1245,"Fewer than half",1607,"false","Fewer than half","76-100",1,FALSE
30,"""devole""","""sholly""",64,1255,"Fewer than half",1504,"false","Fewer than half","61-75",1,FALSE
30,"""pengyl""","""sedest""",88,1044,"More than half",987,"true","More than half","76-100",1,FALSE
30,"""bemble""","""squank""",94,1178,"Fewer than half",1917,"false","Fewer than half","76-100",1,FALSE
30,"""chulks""","""vulhor""",52,1111,"More than half",2675,"true","More than half","51-60",1,FALSE
30,"""boddle""","""molill""",58,1043,"Fewer than half",1124,"false","Fewer than half","51-60",1,FALSE
30,"""beckel""","""racual""",64,1043,"More than half",2366,"true","More than half","61-75",1,FALSE
30,"""clidge""","""hensly""",39,976,"Fewer than half",2194,"true","Fewer than half","26-40",0,FALSE
30,"""hadder""","""ollidy""",68,505,"More than half",953,"true","More than half","61-75",1,FALSE
30,"""sporer""","""firtly""",40,708,"More than half",687,"false","More than half","26-40",0,FALSE
30,"""coppar""","""hunene""",68,1009,"Fewer than half",1023,"false","Fewer than half","61-75",1,FALSE
30,"""sporer""","""firtly""",91,1212,"Fewer than half",1125,"false","Fewer than half","76-100",1,FALSE
30,"""devole""","""sholly""",24,640,"More than half",919,"false","More than half","1-25",0,FALSE
30,"""ancits""","""smeath""",27,1447,"Fewer than half",2434,"true","Fewer than half","26-40",0,FALSE
30,"""coppar""","""hunene""",1,775,"More than half",745,"false","More than half","1-25",0,FALSE
30,"""shamer""","""bloifs""",2,875,"Fewer than half",815,"true","Fewer than half","1-25",0,FALSE
30,"""chevel""","""podden""",9,639,"More than half",1538,"false","More than half","1-25",0,FALSE
30,"""cather""","""funder""",70,718,"Fewer than half",1470,"true","Fewer than half","61-75",0,FALSE
30,"""chadop""","""shaple""",49,1658,"Fewer than half",1263,"true","Fewer than half","41-50",0,FALSE
30,"""pluset""","""stubad""",30,741,"More than half",2434,"false","More than half","26-40",0,FALSE
30,"""ingell""","""nalill""",6,942,"More than half",1022,"false","More than half","1-25",0,FALSE
30,"""hadder""","""ollidy""",47,842,"Fewer than half",929,"true","Fewer than half","41-50",0,FALSE
30,"""kustle""","""reshix""",48,1515,"Fewer than half",1158,"true","Fewer than half","41-50",0,FALSE
30,"""spunge""","""wenple""",89,787,"More than half",1712,"true","More than half","76-100",1,FALSE
30,"""cosutz""","""spover""",60,573,"More than half",918,"true","More than half","51-60",1,FALSE
30,"""fleeve""","""scalfs""",7,741,"Fewer than half",712,"true","Fewer than half","1-25",0,FALSE
30,"""zetten""","""unfobs""",44,977,"Fewer than half",1159,"true","Fewer than half","41-50",0,FALSE
30,"""shrile""","""athoid""",98,1617,"More than half",849,"true","More than half","76-100",1,FALSE
30,"""pirter""","""secent""",26,573,"More than half",688,"false","More than half","26-40",0,FALSE
30,"""puctor""","""recure""",79,740,"Fewer than half",1021,"false","Fewer than half","76-100",1,FALSE
30,"""chulks""","""vulhor""",11,1548,"Fewer than half",780,"true","Fewer than half","1-25",0,FALSE
30,"""birler""","""enciad""",12,573,"More than half",815,"false","More than half","1-25",0,FALSE
30,"""shamer""","""bloifs""",75,439,"More than half",608,"true","More than half","61-75",1,FALSE
30,"""tiklet""","""hullaw""",17,673,"Fewer than half",643,"true","Fewer than half","1-25",0,FALSE
30,"""schook""","""jabant""",74,1278,"More than half",654,"true","More than half","61-75",1,FALSE
30,"""awplor""","""fasees""",65,774,"Fewer than half",780,"false","Fewer than half","61-75",1,FALSE
30,"""beckel""","""racual""",33,1045,"Fewer than half",2125,"true","Fewer than half","26-40",0,FALSE
30,"""pobbit""","""spippy""",36,641,"More than half",678,"false","More than half","26-40",0,FALSE
30,"""dorder""","""coggon""",95,1211,"Fewer than half",849,"false","Fewer than half","76-100",1,FALSE
30,"""pirter""","""secent""",59,673,"Fewer than half",746,"false","Fewer than half","51-60",1,FALSE
30,"""ancits""","""smeath""",81,607,"More than half",988,"true","More than half","76-100",1,FALSE
30,"""coamin""","""mucond""",55,909,"More than half",2434,"true","More than half","51-60",1,FALSE
30,"""menner""","""nandow""",28,605,"More than half",815,"false","More than half","26-40",0,FALSE
30,"""isbant""","""unairs""",90,775,"Fewer than half",2400,"false","Fewer than half","76-100",1,FALSE
30,"""chevel""","""podden""",88,707,"Fewer than half",988,"false","Fewer than half","76-100",1,FALSE
30,"""werner""","""hurmer""",46,919,"Fewer than half",780,"true","Fewer than half","41-50",0,FALSE
30,"""dorder""","""coggon""",27,607,"More than half",780,"false","More than half","26-40",0,FALSE
30,"""schook""","""jabant""",28,1245,"Fewer than half",1642,"true","Fewer than half","26-40",0,FALSE
30,"""cather""","""funder""",48,1021,"More than half",1573,"false","More than half","41-50",0,FALSE
30,"""middor""","""drooty""",25,539,"Fewer than half",1022,"true","Fewer than half","1-25",0,FALSE
30,"""mecket""","""plumry""",19,808,"Fewer than half",1642,"true","Fewer than half","1-25",0,FALSE
30,"""pliper""","""sesare""",78,673,"Fewer than half",746,"false","Fewer than half","76-100",1,FALSE
30,"""ingell""","""nalill""",98,673,"Fewer than half",1023,"false","Fewer than half","76-100",1,FALSE
30,"""strant""","""potind""",13,707,"Fewer than half",850,"true","Fewer than half","1-25",0,FALSE
30,"""raster""","""movell""",66,583,"Fewer than half",745,"false","Fewer than half","61-75",1,FALSE
34,"""tecker""","""biller""",12,1911,"More than half",1357,"false","More than half","1-25",0,FALSE
34,"""boddle""","""molill""",61,1768,"Fewer than half",2083,"false","Fewer than half","61-75",1,FALSE
34,"""birler""","""enciad""",16,1216,"More than half",1074,"false","More than half","1-25",0,FALSE
34,"""clidge""","""hensly""",80,1724,"More than half",1326,"true","More than half","76-100",1,FALSE
34,"""cather""","""funder""",91,1736,"Fewer than half",1989,"false","Fewer than half","76-100",1,FALSE
34,"""jallem""","""sildal""",20,1121,"More than half",2353,"false","More than half","1-25",0,FALSE
34,"""monter""","""melelt""",92,679,"More than half",1264,"true","More than half","76-100",1,FALSE
34,"""chadop""","""shaple""",4,1895,"Fewer than half",1374,"true","Fewer than half","1-25",0,FALSE
34,"""hadder""","""ollidy""",29,853,"Fewer than half",1026,"true","Fewer than half","26-40",0,FALSE
34,"""umpond""","""marire""",40,742,"More than half",1515,"false","More than half","26-40",0,FALSE
34,"""strant""","""potind""",72,647,"More than half",1216,"true","More than half","61-75",1,FALSE
34,"""ingell""","""nalill""",49,1611,"More than half",2668,"false","More than half","41-50",0,FALSE
34,"""chevel""","""podden""",85,1327,"Fewer than half",1216,"false","Fewer than half","76-100",1,FALSE
34,"""zetten""","""unfobs""",46,1755,"Fewer than half",1310,"true","Fewer than half","41-50",0,FALSE
34,"""werner""","""hurmer""",47,1516,"Fewer than half",9647,"true","Fewer than half","41-50",0,FALSE
34,"""boddle""","""molill""",13,584,"More than half",1231,"false","More than half","1-25",0,FALSE
34,"""coamin""","""mucond""",11,458,"Fewer than half",1563,"true","Fewer than half","1-25",0,FALSE
34,"""shrile""","""athoid""",38,568,"Fewer than half",1626,"true","Fewer than half","26-40",0,FALSE
34,"""dorder""","""coggon""",53,1215,"Fewer than half",1530,"false","Fewer than half","51-60",1,FALSE
34,"""dorder""","""coggon""",1,679,"More than half",1926,"false","More than half","1-25",0,FALSE
34,"""kustle""","""reshix""",60,635,"More than half",1311,"true","More than half","51-60",1,FALSE
34,"""schook""","""jabant""",97,537,"More than half",2495,"true","More than half","76-100",1,FALSE
